source_text,source_text
0 = no cap. Used when multipliers can inflate points.,0 = no cap. Used when multipliers can inflate points.
"0 = not started, 1 = first step done, etc.","0 = not started, 1 = first step done, etc."
0-100,0-100
0-100 (higher = more fake),0-100 (higher = more fake)
0-100 (higher = safer),0-100 (higher = safer)
0-23,0-23
1-10,1-10
1-100,1-100
11-50,11-50
201-500,201-500
360° View,360° View
360° view is not available for {0},360° view is not available for {0}
500+,500+
51-200,51-200
Accepted,Accepted
Access Password,Access Password
Action,Action
Action Field,Action Field
Action Taken,Action Taken
Action Type,Action Type
Action Value,Action Value
Active,Active
Active Agents,Active Agents
Active Breaches,Active Breaches
Active Campaigns,Active Campaigns
Active Challenges,Active Challenges
Active Industry Preset,Active Industry Preset
Active Leads,Active Leads
Active Lists,Active Lists
Active Members,Active Members
Active Partner,Active Partner
Active Rules,Active Rules
Active SLA Breaches,Active SLA Breaches
Activities,Activities
Activity,Activity
Activity Feed,Activity Feed
Activity Streaks,Activity Streaks
Ad Click,Ad Click
Ad Copy,Ad Copy
Ad Inventory,Ad Inventory
Ad Inventory Link,Ad Inventory Link
Ad Library Search Url,Ad Library Search Url
Ad Stopped,Ad Stopped
Adapted Content,Adapted Content
Adapted Hashtags,Adapted Hashtags
Add at least one step before activating,Add at least one step before activating
Add To Segment,Add To Segment
Added On,Added On
"Additional multiplier per consecutive day (e.g., 0.1 = +10%/day)","Additional multiplier per consecutive day (e.g., 0.1 = +10%/day)"
Additional Script Notes,Additional Script Notes
Advertising,Advertising
Advertising Platforms,Advertising Platforms
Agent,Agent
Agent Briefing,Agent Briefing
Agent Briefing Notes,Agent Briefing Notes
Agent Call Context,Agent Call Context
Agent Label,Agent Label
Agent Name,Agent Name
Agent Performance,Agent Performance
Agent Performance (MTD),Agent Performance (MTD)
Agent Performance Rankings,Agent Performance Rankings
Agent Points Log,Agent Points Log
Agent Scorecard,Agent Scorecard
Agent Scorecards,Agent Scorecards
Agent Shift,Agent Shift
Agent Shifts,Agent Shifts
Agent's streak day count when this was earned,Agent's streak day count when this was earned
Agents,Agents
Ai Analysis,Ai Analysis
AI Analysis,AI Analysis
AI Calculated,AI Calculated
AI Content,AI Content
AI Content Model,AI Content Model
AI Content Request,AI Content Request
AI Fast Model,AI Fast Model
AI Generated,AI Generated
AI Lead Profile,AI Lead Profile
AI Metadata,AI Metadata
Ai Personalize,Ai Personalize
AI Profiles,AI Profiles
AI Profiling,AI Profiling
AI Provider,AI Provider
AI Provider Configuration,AI Provider Configuration
AI Response,AI Response
AI Response Persona,AI Response Persona
Ai Suggested Response,Ai Suggested Response
Alert On Negative Review,Alert On Negative Review
Alert On New Ad,Alert On New Ad
Alert Sent,Alert Sent
Alert Sent At,Alert Sent At
Alert Threshold Percent,Alert Threshold Percent
All,All
All Time,All Time
"All Time = cumulative, else resets each period","All Time = cumulative, else resets each period"
Already at final stage,Already at final stage
America/New_York,America/New_York
Amount,Amount
Analytics,Analytics
Answered,Answered
anthropic,anthropic
Anthropic API Key,Anthropic API Key
Anti-Gaming Controls,Anti-Gaming Controls
Anti-Gaming Protection,Anti-Gaming Protection
Any,Any
Api Calls Made,Api Calls Made
API Configuration,API Configuration
Apollo,Apollo
Apollo API Key,Apollo API Key
Apollo Result,Apollo Result
Applies To,Applies To
Apply when calling from this campaign,Apply when calling from this campaign
Apply when contact belongs to this segment,Apply when contact belongs to this segment
Apply when contact has this classification,Apply when contact has this classification
Appointment,Appointment
Appreciation Percent,Appreciation Percent
Approved,Approved
ar,ar
Arabic,Arabic
Archived,Archived
Article,Article
Asia/Dubai,Asia/Dubai
Asia/Riyadh,Asia/Riyadh
Asset Type,Asset Type
Assign Agent,Assign Agent
Assign To,Assign To
Assigned,Assigned
Assigned Agent,Assigned Agent
Assigned Agents,Assigned Agents
Assigned To,Assigned To
Assignment Changed,Assignment Changed
At least one agent must be assigned before activating,At least one agent must be assigned before activating
At least one sequence step is required,At least one sequence step is required
Attempts,Attempts
Attributed Revenue,Attributed Revenue
Attribution,Attribution
Attribution Model,Attribution Model
Attribution Weight,Attribution Weight
Audience,Audience
Audience Countries,Audience Countries
Audience Demographics,Audience Demographics
Audience Segment,Audience Segment
Audience Segment has no filters,Audience Segment has no filters
Audience Segment has no filters configured,Audience Segment has no filters configured
Audience Segment {0} does not exist,Audience Segment {0} does not exist
