source,translated,context
AuraCRM,أوراCRM,
About AuraCRM,عن أوراCRM,
AuraCRM Settings,إعدادات أوراCRM,
AuraCRM Industry Preset,إعدادات مسبقة للصناعة,
AuraCRM Help,مساعدة أوراCRM,
AuraCRM Onboarding,الإرشاد التعريفي لأوراCRM,
Visual CRM Platform,منصة CRM بصرية,
"Visual CRM Platform with Unified Communications",منصة CRM بصرية مع اتصالات موحدة,
"AuraCRM is an AI-powered visual CRM platform that combines lead management, sales pipeline, marketing automation, gamification, and unified communications into one seamless experience built on ERPNext.",أوراCRM هي منصة CRM بصرية مدعومة بالذكاء الاصطناعي تجمع بين إدارة العملاء المحتملين وخط أنابيب المبيعات وأتمتة التسويق والتلعيب والاتصالات الموحدة في تجربة واحدة سلسة مبنية على ERPNext.,
What is AuraCRM?,ما هو أوراCRM؟,
Lead Management,إدارة العملاء المحتملين,
Lead,عميل محتمل,
Leads,عملاء محتملون,
Lead Scoring,تسجيل نقاط العملاء المحتملين,
Lead Scoring Rule,قاعدة تسجيل النقاط,
Lead Score Log,سجل النقاط,
Scoring Criterion,معيار التسجيل,
Lead Distribution,توزيع العملاء المحتملين,
Lead Distribution Rule,قاعدة التوزيع,
Distribution Agent,وكيل التوزيع,
Auto Distribution,توزيع تلقائي,
AI Lead Profile,ملف الذكاء الاصطناعي للعميل,
AI Lead Profiles,ملفات الذكاء الاصطناعي,
AI Content Request,طلب محتوى ذكاء اصطناعي,
AI Profiles,ملفات الذكاء الاصطناعي,
AI Intelligence,ذكاء اصطناعي,
AI Scoring,تسجيل بالذكاء الاصطناعي,
AI Content,محتوى ذكاء اصطناعي,
Data Enrichment,إثراء البيانات,
Enrichment Job,مهمة إثراء,
Enrichment Result,نتيجة الإثراء,
Duplicate Detection,كشف التكرار,
Duplicate Rule,قاعدة التكرار,
Contact Classification,تصنيف جهات الاتصال,
Communication Template,قالب اتصال,
Visual Pipeline,خط أنابيب بصري,
Pipeline,خط الأنابيب,
Pipeline Management,إدارة خط الأنابيب,
Pipeline Analytics,تحليلات خط الأنابيب,
Opportunity,فرصة,
Customer,عميل,
Sales Pipeline,خط أنابيب المبيعات,
Sales Workflow,سير عمل المبيعات,
Sales Manager,مدير المبيعات,
Sales Manager Perspective,منظور مدير المبيعات,
Sales Agent,وكيل المبيعات,
Sales Agent Perspective,منظور وكيل المبيعات,
"Full pipeline visibility and team management",رؤية كاملة لخط الأنابيب وإدارة الفريق,
"Productivity tools and guided selling",أدوات الإنتاجية والبيع الموجه,
Deal Room,غرفة الصفقات,
Deal Rooms,غرف الصفقات,
Deal Room Asset,أصول غرفة الصفقات,
"Pipeline & Deal Rooms",خط الأنابيب وغرف الصفقات,
SLA Policy,سياسة اتفاقية مستوى الخدمة,
SLA Policies,سياسات مستوى الخدمة,
SLA Breach Log,سجل انتهاكات SLA,
SLA Monitoring,مراقبة SLA,
SLA Enforcement,تطبيق SLA,
Customer Journey,رحلة العميل,
Customer Journey Tracking,تتبع رحلة العميل,
Journey Touchpoint,نقطة تواصل,
Campaign Sequence,سلسلة حملات,
Campaign Sequences,سلاسل الحملات,
Campaign Sequence Step,خطوة سلسلة الحملة,
Sequence Enrollment,تسجيل في السلسلة,
Campaign Management,إدارة الحملات,
Campaign ROI,عائد استثمار الحملة,
"Marketing & Campaigns",التسويق والحملات,
Marketing Team,فريق التسويق,
Marketing Perspective,منظور التسويق,
"Campaign management and content strategy",إدارة الحملات واستراتيجية المحتوى,
Marketing Automation,أتمتة التسويق,
Marketing List,قائمة تسويقية,
Marketing List Member,عضو القائمة التسويقية,
Nurture Journey,رحلة رعاية,
Nurture Journeys,رحلات الرعاية,
Nurture Step,خطوة رعاية,
Nurture Lead Instance,مثيل عميل رعاية,
Nurture Sequences,سلاسل الرعاية,
Content Calendar,تقويم المحتوى,
Content Calendar Entry,إدخال تقويم المحتوى,
Content Asset Row,صف أصول المحتوى,
Social Publishing,النشر الاجتماعي,
Publishing Queue,قائمة النشر,
Target Platform Row,صف المنصة المستهدفة,
WhatsApp Broadcast,بث واتساب,
WhatsApp Chatbot,روبوت واتساب,
Chatbot Node,عقدة الروبوت,
Attribution Model,نموذج الإسناد,
Attribution Models,نماذج الإسناد,
CRM Campaign ROI Link,رابط عائد استثمار الحملة,
Audience Segment,شريحة الجمهور,
Audience Segments,شرائح الجمهور,
Influencer Profile,ملف المؤثر,
Influencer Campaign,حملة مؤثر,
Influencer Campaign Row,صف حملة المؤثر,
Influencer Campaigns,حملات المؤثرين,
Auto Dialer,الاتصال التلقائي,
Auto Dialer Campaign,حملة اتصال تلقائي,
Auto Dialer Entry,إدخال اتصال تلقائي,
Call Context Rule,قاعدة سياق المكالمة,
Automation Engine,محرك الأتمتة,
CRM Automation Rule,قاعدة أتمتة CRM,
Interaction Automation Rule,قاعدة أتمتة التفاعل,
Interaction Queue,قائمة التفاعل,
Optimal Time Rule,قاعدة الوقت الأمثل,
Gamification,التلعيب,
"Gamification & AI",التلعيب والذكاء الاصطناعي,
Sales Gamification,تلعيب المبيعات,
Gamification Settings,إعدادات التلعيب,
Gamification Badge,شارة التلعيب,
Gamification Challenge,تحدي التلعيب,
Gamification Event,حدث التلعيب,
Gamification Level,مستوى التلعيب,
Challenge Participant,مشارك في التحدي,
Challenges,التحديات,
Agent Scorecard,بطاقة أداء الوكيل,
Agent Scorecards,بطاقات الأداء,
Agent Points Log,سجل نقاط الوكيل,
Agent Shift,وردية الوكيل,
"Points & Badges",النقاط والشارات,
Competitor Profile,ملف المنافس,
Competitor Intel,استخبارات المنافسين,
Competitor Intelligence,استخبارات المنافسين,
Competitor Intel Entry,إدخال استخبارات المنافس,
"Competitor Intel Entry",إدخال استخبارات المنافس,
OSINT Hunt Configuration,إعدادات بحث OSINT,
OSINT Hunt Log,سجل بحث OSINT,
OSINT Raw Result,نتيجة OSINT خام,
Ad Inventory Link,رابط مخزون إعلانات,
Review Entry,إدخال مراجعة,
Property Portfolio Item,عنصر محفظة عقارية,
Unified Communications,اتصالات موحدة,
Advanced Analytics,تحليلات متقدمة,
Go to Dashboard,الذهاب إلى لوحة التحكم,
Open Dashboard,فتح لوحة التحكم,
Start Onboarding,بدء الإرشاد التعريفي,
Onboarding,الإرشاد التعريفي,
Skip to Dashboard,تخطي إلى لوحة التحكم,
"← Previous",→ السابق,
"Next →",← التالي,
Module Map,خريطة الوحدات,
Entity Relationships,العلاقات بين الكيانات,
AuraCRM Entity Relationships,العلاقات بين كيانات أوراCRM,
AuraCRM Modules,وحدات أوراCRM,
Integration Map,خريطة التكامل,
"Security & Analytics",الأمان والتحليلات,
Getting Started,البدء السريع,
"Ready to Get Started?",مستعد للبدء؟,
"Follow these steps to set up AuraCRM for your organization:",اتبع هذه الخطوات لإعداد أوراCRM لمؤسستك:,
Configure AuraCRM Settings,تكوين إعدادات أوراCRM,
Set up Lead Scoring Rules,إعداد قواعد تسجيل النقاط,
Configure Distribution Rules,تكوين قواعد التوزيع,
Create Campaign Sequences,إنشاء سلاسل الحملات,
Enable Gamification,تفعيل التلعيب,
Define SLA Policies,تعريف سياسات SLA,
Apply Industry Presets,تطبيق الإعدادات المسبقة للصناعة,
"AuraCRM has 66 DocTypes organized into Lead Management, Pipeline, Campaigns, Gamification, AI, and Communications modules.",يحتوي أوراCRM على 66 نوع مستند منظمة في وحدات إدارة العملاء المحتملين وخط الأنابيب والحملات والتلعيب والذكاء الاصطناعي والاتصالات.,
How It All Connects,كيف يرتبط كل شيء,
"AuraCRM enhances Frappe's Lead doctype with powerful automation:",يعزز أوراCRM نوع مستند العميل المحتمل في Frappe بأتمتة قوية:,
"Automatic scoring based on configurable rules and AI models",تسجيل تلقائي بناءً على قواعد قابلة للتكوين ونماذج ذكاء اصطناعي,
"Route leads to agents by territory, skill, or round-robin",توجيه العملاء المحتملين إلى الوكلاء حسب المنطقة أو المهارة أو التوزيع الدوري,
"Auto-populate lead data from OSINT and external sources",ملء بيانات العميل تلقائياً من OSINT والمصادر الخارجية,
"AI-generated insights with conversion probability and ideal approach",رؤى مولدة بالذكاء الاصطناعي مع احتمالية التحويل والنهج المثالي,
"Smart rules to prevent and merge duplicate leads",قواعد ذكية لمنع ودمج العملاء المكررين,
"Categorize contacts by role, influence, and buying stage",تصنيف جهات الاتصال حسب الدور والتأثير ومرحلة الشراء,
"Visual pipeline management with collaborative deal rooms:",إدارة خط أنابيب بصرية مع غرف صفقات تعاونية:,
"Drag-and-drop Kanban board with stage-based automation",لوحة كانبان بالسحب والإفلات مع أتمتة قائمة على المراحل,
"Shared spaces for each deal with documents, notes, and stakeholders",مساحات مشتركة لكل صفقة مع المستندات والملاحظات وأصحاب المصلحة,
"Auto-monitored response times with escalation workflows",أوقات استجابة مراقبة تلقائياً مع سير عمل التصعيد,
"Track every touchpoint from first contact to closed deal",تتبع كل نقطة تواصل من أول اتصال إلى إغلاق الصفقة,
"Multi-channel campaign automation:",أتمتة حملات متعددة القنوات:,
"Multi-step workflows with email, WhatsApp, SMS, and delays",سير عمل متعدد الخطوات مع البريد الإلكتروني وواتساب والرسائل القصيرة والتأخيرات,
"Long-term nurture programs with intelligent branching",برامج رعاية طويلة الأمد مع تفرع ذكي,
"Plan and schedule content with visual calendar view",تخطيط وجدولة المحتوى مع عرض تقويم بصري,
"Publish to social platforms with AI content suggestions",النشر على المنصات الاجتماعية مع اقتراحات محتوى ذكاء اصطناعي,
"Track which channels drive the most revenue",تتبع القنوات التي تحقق أكبر إيرادات,
"Mass messaging with templates and personalization",مراسلة جماعية مع القوالب والتخصيص,
"Boost team performance and leverage AI intelligence:",تعزيز أداء الفريق والاستفادة من الذكاء الاصطناعي:,
"Earn points for activities, unlock badges for achievements",اكسب نقاطاً للأنشطة وافتح شارات للإنجازات,
"Time-bound challenges with leaderboards and rewards",تحديات محددة بوقت مع لوحات المتصدرين والمكافآت,
"Performance tracking with KPI dashboards",تتبع الأداء مع لوحات مؤشرات الأداء الرئيسية,
"AI-generated email subjects, follow-up messages, and social posts",مواضيع بريد إلكتروني مولدة بالذكاء الاصطناعي ورسائل متابعة ومنشورات اجتماعية,
"Track competitor activities and market positioning",تتبع أنشطة المنافسين والموقع في السوق,
"Drag-and-drop Kanban board with real-time deal tracking and forecasting",لوحة كانبان بالسحب والإفلات مع تتبع الصفقات والتنبؤات في الوقت الفعلي,
Team Analytics,تحليلات الفريق,
Distribution Rules,قواعد التوزيع,
"Agent scorecards, performance leaderboards, and gamification challenges",بطاقات أداء الوكلاء ولوحات المتصدرين وتحديات التلعيب,
"Auto-assign leads based on territory, skill, workload, or round-robin",تعيين العملاء تلقائياً حسب المنطقة أو المهارة أو حجم العمل أو التوزيع الدوري,
"Track marketing spend vs revenue with multi-touch attribution models",تتبع الإنفاق التسويقي مقابل الإيرادات مع نماذج إسناد متعددة اللمس,
"Response time SLAs with automatic escalation and breach alerts",اتفاقيات وقت الاستجابة مع التصعيد التلقائي وتنبيهات الانتهاك,
"Track competitor moves, win/loss analysis, and market positioning",تتبع حركات المنافسين وتحليل الفوز/الخسارة والموقع في السوق,
"Click-to-call with call scripts, context rules, and automatic logging",الاتصال بنقرة واحدة مع نصوص المكالمات وقواعد السياق والتسجيل التلقائي,
"AI-generated insights, ideal approach, and conversion probability",رؤى مولدة بالذكاء الاصطناعي والنهج المثالي واحتمالية التحويل,
"Automated follow-up sequences via email, WhatsApp, and SMS",سلاسل متابعة تلقائية عبر البريد الإلكتروني وواتساب والرسائل القصيرة,
"Shared collaboration spaces with documents, notes, and stakeholder tracking",مساحات تعاون مشتركة مع المستندات والملاحظات وتتبع أصحاب المصلحة,
"Earn points, badges, and climb leaderboards for hitting targets",اكسب نقاطاً وشارات وتسلق لوحات المتصدرين لتحقيق الأهداف,
"Complete interaction history across all channels in one place",سجل التفاعل الكامل عبر جميع القنوات في مكان واحد,
"360° Contact View",عرض جهة الاتصال 360°,
Qualification,التأهيل,
"Close & Convert",الإغلاق والتحويل,
"Analytics & ROI",التحليلات وعائد الاستثمار,
Lead Capture,التقاط العملاء المحتملين,
"Security & Access Control",الأمان والتحكم بالوصول,
CAPS Integration,تكامل CAPS,
"Fine-grained capability-based access on every field and action",تحكم دقيق بالوصول المبني على الصلاحيات لكل حقل وإجراء,
Territory Rules,قواعد المنطقة,
"Row-level permissions based on territory assignment",أذونات على مستوى الصف بناءً على تعيين المنطقة,
Audit Trail,سجل التدقيق,
"Complete history of all lead and deal interactions",سجل كامل لجميع تفاعلات العملاء المحتملين والصفقات,
"Automated SLA monitoring with breach logging",مراقبة SLA تلقائية مع تسجيل الانتهاكات,
"Analytics & AI",التحليلات والذكاء الاصطناعي,
"Conversion rates, stage duration, win/loss analysis",معدلات التحويل ومدة المرحلة وتحليل الفوز/الخسارة,
AI Lead Scoring,تسجيل نقاط بالذكاء الاصطناعي,
