source_text,translated_text,context
0 = no cap. Used when multipliers can inflate points.,0 = بدون حد. يُستخدم عندما يمكن للمضاعفات تضخيم النقاط.,
"0 = not started, 1 = first step done, etc.",0 = لم يبدأ، 1 = الخطوة الأولى تمت، إلخ.,
0-100,0-100,
0-100 (higher = more fake),0-100 (أعلى = أكثر زيفاً),
0-100 (higher = safer),0-100 (أعلى = أكثر أماناً),
0-23,0-23,
1-10,1-10,
1-100,1-100,
11-50,11-50,
201-500,201-500,
360° View,عرض 360°,
360° view is not available for {0},عرض 360° غير متاح لـ {0},
500+,500+,
51-200,51-200,
Accepted,مقبول,
Access Password,كلمة مرور الوصول,
Action,الإجراء,
Action Field,حقل الإجراء,
Action Taken,الإجراء المتخذ,
Action Type,نوع الإجراء,
Action Value,قيمة الإجراء,
Active,نشط,
Active Agents,الوكلاء النشطون,
Active Breaches,الانتهاكات النشطة,
Active Campaigns,الحملات النشطة,
Active Challenges,التحديات النشطة,
Active Industry Preset,قالب الصناعة النشط,
Active Leads,العملاء المحتملين النشطين,
Active Lists,القوائم النشطة,
Active Members,الأعضاء النشطون,
Active Partner,شريك نشط,
Active Rules,القواعد النشطة,
Active SLA Breaches,انتهاكات اتفاقية الخدمة النشطة,
Activities,الأنشطة,
Activity,النشاط,
Activity Feed,تغذية الأنشطة,
Activity Streaks,سلاسل الأنشطة,
Ad Click,نقرة إعلان,
Ad Copy,نسخة الإعلان,
Ad Inventory,مخزون الإعلانات,
Ad Inventory Link,رابط مخزون الإعلانات,
Ad Library Search Url,رابط بحث مكتبة الإعلانات,
Ad Stopped,إعلان متوقف,
Adapted Content,محتوى مُعدّل,
Adapted Hashtags,هاشتاغات مُعدّلة,
Add at least one step before activating,أضف خطوة واحدة على الأقل قبل التفعيل,
Add To Segment,إضافة إلى الشريحة,
Added On,أُضيف في,
"Additional multiplier per consecutive day (e.g., 0.1 = +10%/day)",مضاعف إضافي لكل يوم متتالي (مثال: 0.1 = +10%/يوم),
Additional Script Notes,ملاحظات سكربت إضافية,
Advertising,الإعلانات,
Advertising Platforms,منصات الإعلانات,
Agent,وكيل,
Agent Briefing,إحاطة الوكيل,
Agent Briefing Notes,ملاحظات إحاطة الوكيل,
Agent Call Context,سياق مكالمة الوكيل,
Agent Label,تسمية الوكيل,
Agent Name,اسم الوكيل,
Agent Performance,أداء الوكيل,
Agent Performance (MTD),أداء الوكيل (منذ بداية الشهر),
Agent Performance Rankings,تصنيفات أداء الوكلاء,
Agent Points Log,سجل نقاط الوكيل,
Agent Scorecard,بطاقة أداء الوكيل,
Agent Scorecards,بطاقات أداء الوكلاء,
Agent Shift,مناوبة الوكيل,
Agent Shifts,مناوبات الوكلاء,
Agent's streak day count when this was earned,عدد أيام سلسلة الوكيل المتتالية عند الحصول على هذا,
Agents,الوكلاء,
Ai Analysis,تحليل الذكاء الاصطناعي,
AI Analysis,تحليل الذكاء الاصطناعي,
AI Calculated,محسوب بالذكاء الاصطناعي,
AI Content,محتوى الذكاء الاصطناعي,
AI Content Model,نموذج محتوى الذكاء الاصطناعي,
AI Content Request,طلب محتوى ذكاء اصطناعي,
AI Fast Model,النموذج السريع للذكاء الاصطناعي,
AI Generated,مولّد بالذكاء الاصطناعي,
AI Lead Profile,ملف عميل بالذكاء الاصطناعي,
AI Metadata,بيانات الذكاء الاصطناعي الوصفية,
Ai Personalize,تخصيص الذكاء الاصطناعي,
AI Profiles,ملفات الذكاء الاصطناعي,
AI Profiling,تحليل الذكاء الاصطناعي,
AI Provider,مزود الذكاء الاصطناعي,
AI Provider Configuration,تكوين مزود الذكاء الاصطناعي,
AI Response,استجابة الذكاء الاصطناعي,
AI Response Persona,شخصية استجابة الذكاء الاصطناعي,
Ai Suggested Response,استجابة مقترحة بالذكاء الاصطناعي,
Alert On Negative Review,تنبيه عند تقييم سلبي,
Alert On New Ad,تنبيه عند إعلان جديد,
Alert Sent,تم إرسال التنبيه,
Alert Sent At,أُرسل التنبيه في,
Alert Threshold Percent,نسبة حد التنبيه,
All,الكل,
All Time,كل الأوقات,
"All Time = cumulative, else resets each period",كل الأوقات = تراكمي، وإلا يُعاد التعيين كل فترة,
Already at final stage,بالفعل في المرحلة الأخيرة,
America/New_York,America/New_York,
Amount,المبلغ,
Analytics,التحليلات,
Answered,تم الرد,
anthropic,anthropic,
Anthropic API Key,مفتاح API Anthropic,
Anti-Gaming Controls,ضوابط منع التلاعب,
Anti-Gaming Protection,حماية ضد التلاعب,
Any,أي,
Api Calls Made,طلبات API المنفذة,
API Configuration,تكوين API,
Apollo,أبولو,
Apollo API Key,مفتاح API أبولو,
Apollo Result,نتيجة أبولو,
Applies To,ينطبق على,
Apply when calling from this campaign,تطبيق عند الاتصال من هذه الحملة,
Apply when contact belongs to this segment,تطبيق عند انتماء جهة الاتصال لهذه الشريحة,
Apply when contact has this classification,تطبيق عند تصنيف جهة الاتصال بهذا التصنيف,
Appointment,موعد,
Appreciation Percent,نسبة الارتفاع,
Approved,تمت الموافقة,
ar,ar,
Arabic,العربية,
Archived,مؤرشف,
Article,مقال,
Asia/Dubai,Asia/Dubai,
Asia/Riyadh,Asia/Riyadh,
Asset Type,نوع الأصل,
Assign Agent,تعيين وكيل,
Assign To,تعيين إلى,
Assigned,مُعيّن,
Assigned Agent,الوكيل المعيّن,
Assigned Agents,الوكلاء المعيّنون,
Assigned To,مُعيّن إلى,
Assignment Changed,تم تغيير التعيين,
At least one agent must be assigned before activating,يجب تعيين وكيل واحد على الأقل قبل التفعيل,
At least one sequence step is required,مطلوب خطوة تسلسل واحدة على الأقل,
Attempts,المحاولات,
Attributed Revenue,الإيرادات المُسندة,
Attribution,الإسناد,
Attribution Model,نموذج الإسناد,
Attribution Weight,وزن الإسناد,
Audience,الجمهور,
Audience Countries,دول الجمهور,
Audience Demographics,ديموغرافيا الجمهور,
Audience Segment,شريحة الجمهور,
Audience Segment has no filters,شريحة الجمهور بدون فلاتر,
Audience Segment has no filters configured,شريحة الجمهور بدون فلاتر معدّة,
Audience Segment {0} does not exist,شريحة الجمهور {0} غير موجودة,
Audience Segments,شرائح الجمهور,
AuraCRM,AuraCRM,
AuraCRM Industry Preset,قالب صناعة AuraCRM,
AuraCRM Settings,إعدادات AuraCRM,
AuraCRM — Command Center,AuraCRM — مركز القيادة,
Auto Dialer Campaign,حملة المُتصل الآلي,
Auto Dialer Entry,إدخال المُتصل الآلي,
Auto Sold-Proof Posts,منشورات إثبات البيع التلقائية,
Auto-Assign on Lead Creation,التعيين التلقائي عند إنشاء العميل المحتمل,
Auto-Assignment,التعيين التلقائي,
Auto-Classification Rules,قواعد التصنيف التلقائي,
Auto-Classify,تصنيف تلقائي,
Auto-Dialer,المُتصل الآلي,
Auto-Dialer Enabled,المُتصل الآلي مفعّل,
Auto-DM,رسالة مباشرة تلقائية,
Auto-Flag Suspicious Activity,تأشير النشاط المشبوه تلقائياً,
Auto-Generate Deal Rooms,إنشاء غرف الصفقات تلقائياً,
Auto-Generate Review Responses,إنشاء ردود التقييمات تلقائياً,
Auto-populate entries from this segment,ملء الإدخالات تلقائياً من هذه الشريحة,
Automatically pause point accrual and notify admin,إيقاف تراكم النقاط تلقائياً وإخطار المسؤول,
Automatically post 'Just Sold' content on opportunity win,نشر محتوى 'تم البيع' تلقائياً عند الفوز بالفرصة,
Automatically tag matching contacts with this classification,توسيم جهات الاتصال المطابقة تلقائياً بهذا التصنيف,
Automation & Sequences,الأتمتة والتسلسلات,
Automation Enabled,الأتمتة مفعّلة,
Automation Rules,قواعد الأتمتة,
Automation rules evaluated,تم تقييم قواعد الأتمتة,
Available Variables,المتغيرات المتاحة,
Avg Conversion %,متوسط نسبة التحويل,
Avg Days in Pipeline,متوسط الأيام في المسار,
Avg Days in Stage,متوسط الأيام في المرحلة,
Avg Lead Score,متوسط نقاط العميل,
Avg Likes,متوسط الإعجابات,
Avg Response (hrs),متوسط الاستجابة (ساعات),
Avg Response Time (min),متوسط وقت الاستجابة (دقائق),
Avg Score,متوسط النقاط,
Avg Value,متوسط القيمة,
Avg Views,متوسط المشاهدات,
Badge Image,صورة الشارة,
Badge Name,اسم الشارة,
Badge Type,نوع الشارة,
badges,شارات,
Badges,الشارات,
Badges & Achievements,الشارات والإنجازات,
Base Points,النقاط الأساسية,
Base Points cannot be negative,النقاط الأساسية لا يمكن أن تكون سالبة,
base_points × multiplier (including streak bonus),النقاط_الأساسية × المضاعف (شاملاً مكافأة السلسلة),
Bayut,بيوت,
Best Day,أفضل يوم,
Best Hour End,نهاية أفضل ساعة,
Best Hour Start,بداية أفضل ساعة,
Blacklisted,محظور,
Block,حظر,
Blog Article,مقال مدونة,
bonus,مكافأة,
Bonus Multiplier Condition,شرط مضاعف المكافأة,
Bonus Points on Earn,نقاط مكافأة عند الكسب,
bonus points!,نقاط مكافأة!,
Bot Name,اسم الروبوت,
Both,كلاهما,
Bounced,مرتد,
Brand,العلامة التجارية,
Brand Name,اسم العلامة التجارية,
Brand Safety Score,نقاط أمان العلامة التجارية,
Brand Voice Description,وصف صوت العلامة التجارية,
Breach Time,وقت الانتهاك,
BREACHED,مُنتهَك,
Brief,ملخص,
Broadcast Name,اسم البث,
Broadcasts,البثوث,
Broker Detection Reason,سبب كشف الوسيط,
Bronze,برونزي,
Budget Adjustment History,سجل تعديلات الميزانية,
Budget History,سجل الميزانية,
Built-in Preset,قالب مدمج,
Bulk Auto-Classify,تصنيف تلقائي جماعي,
Business,تجاري,
Busy,مشغول,
Button Menu,قائمة الأزرار,
C-Level,مستوى تنفيذي,
Calendar Entry,إدخال التقويم,
Calendarific API Key,مفتاح API Calendarific,
Call,مكالمة,
Call Context Rule,قاعدة سياق المكالمة,
Call Context Rules,قواعد سياق المكالمة,
Call Details,تفاصيل المكالمة,
Call Duration (sec),مدة المكالمة (ثانية),
Call Guidance,إرشادات المكالمة,
Call Log,سجل المكالمات,
Call Script,سكربت المكالمة,
Call Script Template,قالب سكربت المكالمة,
Call Type,نوع المكالمة,
Call Window End,نهاية نافذة الاتصال,
Call Window End must be after Call Window Start,نهاية نافذة الاتصال يجب أن تكون بعد بدايتها,
Call Window Start,بداية نافذة الاتصال,
Callback Requested,تم طلب إعادة الاتصال,
Calls Made,المكالمات المنفذة,
Campaign,حملة,
Campaign Brief,ملخص الحملة,
Campaign can only be started from Draft or Paused status,يمكن بدء الحملة فقط من حالة المسودة أو المتوقف مؤقتاً,
Campaign Name,اسم الحملة,
Campaign ROI,عائد استثمار الحملة,
Campaign Sequence,تسلسل الحملة,
Campaign Sequence Step,خطوة تسلسل الحملة,
Campaign Sequences,تسلسلات الحملات,
Campaign started,بدأت الحملة,
Campaign {0} does not exist,الحملة {0} غير موجودة,
Campaigns,الحملات,
Campaigns & Marketing,الحملات والتسويق,
Cancelled,ملغي,
Cannot activate sequence without steps,لا يمكن تفعيل التسلسل بدون خطوات,
"Cap for streak multiplier (e.g., 3.0 = max 3× points)",حد أقصى لمضاعف الأيام المتتالية (مثال: 3.0 = أقصى 3× نقاط),
CAPS Capability Templates,قوالب قدرات CAPS,
Carousel,كاروسيل,
Carousel Copy,نسخة الكاروسيل,
Casual,عفوي,
Category,الفئة,
Celebrations & Animations,الاحتفالات والرسوم المتحركة,
Challenge,التحدي,
Challenge Complete:,التحدي مكتمل:,
Challenge has no participants. Add agents to the participants table.,التحدي بدون مشاركين. أضف وكلاء إلى جدول المشاركين.,
Challenge Name,اسم التحدي,
Challenge Participant,مشارك في التحدي,
Challenges,التحديات,
Challenges & Competitions,التحديات والمسابقات,
Change Segment,تغيير الشريحة,
