source_text,translated_text,context
0 = no cap. Used when multipliers can inflate points.,0 = no cap. Used when multipliers can inflate points.,
"0 = not started, 1 = first step done, etc.","0 = not started, 1 = first step done, etc.",
0-100,0-100,
0-100 (higher = more fake),0-100 (higher = more fake),
0-100 (higher = safer),0-100 (higher = safer),
0-23,0-23,
1-10,1-10,
1-100,1-100,
11-50,11-50,
201-500,201-500,
360° View,360° View,
360° view is not available for {0},360° view is not available for {0},
500+,500+,
51-200,51-200,
Accepted,Accepted,
Access Password,Access Password,
Action,Action,
Action Field,Action Field,
Action Taken,Action Taken,
Action Type,Action Type,
Action Value,Action Value,
Active,Active,
Active Agents,Active Agents,
Active Breaches,Active Breaches,
Active Campaigns,Active Campaigns,
Active Challenges,Active Challenges,
Active Industry Preset,Active Industry Preset,
Active Leads,Active Leads,
Active Lists,Active Lists,
Active Members,Active Members,
Active Partner,Active Partner,
Active Rules,Active Rules,
Active SLA Breaches,Active SLA Breaches,
Activities,Activities,
Activity,Activity,
Activity Feed,Activity Feed,
Activity Streaks,Activity Streaks,
Ad Click,Ad Click,
Ad Copy,Ad Copy,
Ad Inventory,Ad Inventory,
Ad Inventory Link,Ad Inventory Link,
Ad Library Search Url,Ad Library Search Url,
Ad Stopped,Ad Stopped,
Adapted Content,Adapted Content,
Adapted Hashtags,Adapted Hashtags,
Add at least one step before activating,Add at least one step before activating,
Add To Segment,Add To Segment,
Added On,Added On,
"Additional multiplier per consecutive day (e.g., 0.1 = +10%/day)","Additional multiplier per consecutive day (e.g., 0.1 = +10%/day)",
Additional Script Notes,Additional Script Notes,
Advertising,Advertising,
Advertising Platforms,Advertising Platforms,
Agent,Agent,
Agent Briefing,Agent Briefing,
Agent Briefing Notes,Agent Briefing Notes,
Agent Call Context,Agent Call Context,
Agent Label,Agent Label,
Agent Name,Agent Name,
Agent Performance,Agent Performance,
Agent Performance (MTD),Agent Performance (MTD),
Agent Performance Rankings,Agent Performance Rankings,
Agent Points Log,Agent Points Log,
Agent Scorecard,Agent Scorecard,
Agent Scorecards,Agent Scorecards,
Agent Shift,Agent Shift,
Agent Shifts,Agent Shifts,
Agent's streak day count when this was earned,Agent's streak day count when this was earned,
Agents,Agents,
Ai Analysis,Ai Analysis,
AI Analysis,AI Analysis,
AI Calculated,AI Calculated,
AI Content,AI Content,
AI Content Model,AI Content Model,
AI Content Request,AI Content Request,
AI Fast Model,AI Fast Model,
AI Generated,AI Generated,
AI Lead Profile,AI Lead Profile,
AI Metadata,AI Metadata,
Ai Personalize,Ai Personalize,
AI Profiles,AI Profiles,
AI Profiling,AI Profiling,
AI Provider,AI Provider,
AI Provider Configuration,AI Provider Configuration,
AI Response,AI Response,
AI Response Persona,AI Response Persona,
Ai Suggested Response,Ai Suggested Response,
Alert On Negative Review,Alert On Negative Review,
Alert On New Ad,Alert On New Ad,
Alert Sent,Alert Sent,
Alert Sent At,Alert Sent At,
Alert Threshold Percent,Alert Threshold Percent,
All,All,
All Time,All Time,
"All Time = cumulative, else resets each period","All Time = cumulative, else resets each period",
Already at final stage,Already at final stage,
America/New_York,America/New_York,
Amount,Amount,
Analytics,Analytics,
Answered,Answered,
anthropic,anthropic,
Anthropic API Key,Anthropic API Key,
Anti-Gaming Controls,Anti-Gaming Controls,
Anti-Gaming Protection,Anti-Gaming Protection,
Any,Any,
Api Calls Made,Api Calls Made,
API Configuration,API Configuration,
Apollo,Apollo,
Apollo API Key,Apollo API Key,
Apollo Result,Apollo Result,
Applies To,Applies To,
Apply when calling from this campaign,Apply when calling from this campaign,
Apply when contact belongs to this segment,Apply when contact belongs to this segment,
Apply when contact has this classification,Apply when contact has this classification,
Appointment,Appointment,
Appreciation Percent,Appreciation Percent,
Approved,Approved,
ar,ar,
Arabic,Arabic,
Archived,Archived,
Article,Article,
Asia/Dubai,Asia/Dubai,
Asia/Riyadh,Asia/Riyadh,
Asset Type,Asset Type,
Assign Agent,Assign Agent,
Assign To,Assign To,
Assigned,Assigned,
Assigned Agent,Assigned Agent,
Assigned Agents,Assigned Agents,
Assigned To,Assigned To,
Assignment Changed,Assignment Changed,
At least one agent must be assigned before activating,At least one agent must be assigned before activating,
At least one sequence step is required,At least one sequence step is required,
Attempts,Attempts,
Attributed Revenue,Attributed Revenue,
Attribution,Attribution,
Attribution Model,Attribution Model,
Attribution Weight,Attribution Weight,
Audience,Audience,
Audience Countries,Audience Countries,
Audience Demographics,Audience Demographics,
Audience Segment,Audience Segment,
Audience Segment has no filters,Audience Segment has no filters,
Audience Segment has no filters configured,Audience Segment has no filters configured,
Audience Segment {0} does not exist,Audience Segment {0} does not exist,
Audience Segments,Audience Segments,
AuraCRM,AuraCRM,
AuraCRM Industry Preset,AuraCRM Industry Preset,
AuraCRM Settings,AuraCRM Settings,
AuraCRM — Command Center,AuraCRM — Command Center,
Auto Dialer Campaign,Auto Dialer Campaign,
Auto Dialer Entry,Auto Dialer Entry,
Auto Sold-Proof Posts,Auto Sold-Proof Posts,
Auto-Assign on Lead Creation,Auto-Assign on Lead Creation,
Auto-Assignment,Auto-Assignment,
Auto-Classification Rules,Auto-Classification Rules,
Auto-Classify,Auto-Classify,
Auto-Dialer,Auto-Dialer,
Auto-Dialer Enabled,Auto-Dialer Enabled,
Auto-DM,Auto-DM,
Auto-Flag Suspicious Activity,Auto-Flag Suspicious Activity,
Auto-Generate Deal Rooms,Auto-Generate Deal Rooms,
Auto-Generate Review Responses,Auto-Generate Review Responses,
Auto-populate entries from this segment,Auto-populate entries from this segment,
Automatically pause point accrual and notify admin,Automatically pause point accrual and notify admin,
Automatically post 'Just Sold' content on opportunity win,Automatically post 'Just Sold' content on opportunity win,
Automatically tag matching contacts with this classification,Automatically tag matching contacts with this classification,
Automation & Sequences,Automation & Sequences,
Automation Enabled,Automation Enabled,
Automation Rules,Automation Rules,
Automation rules evaluated,Automation rules evaluated,
Available Variables,Available Variables,
Avg Conversion %,Avg Conversion %,
Avg Days in Pipeline,Avg Days in Pipeline,
Avg Days in Stage,Avg Days in Stage,
Avg Lead Score,Avg Lead Score,
Avg Likes,Avg Likes,
Avg Response (hrs),Avg Response (hrs),
Avg Response Time (min),Avg Response Time (min),
Avg Score,Avg Score,
Avg Value,Avg Value,
Avg Views,Avg Views,
Badge Image,Badge Image,
Badge Name,Badge Name,
Badge Type,Badge Type,
badges,badges,
Badges,Badges,
Badges & Achievements,Badges & Achievements,
Base Points,Base Points,
Base Points cannot be negative,Base Points cannot be negative,
base_points × multiplier (including streak bonus),base_points × multiplier (including streak bonus),
Bayut,Bayut,
Best Day,Best Day,
Best Hour End,Best Hour End,
Best Hour Start,Best Hour Start,
Blacklisted,Blacklisted,
Block,Block,
Blog Article,Blog Article,
bonus,bonus,
Bonus Multiplier Condition,Bonus Multiplier Condition,
Bonus Points on Earn,Bonus Points on Earn,
bonus points!,bonus points!,
Bot Name,Bot Name,
Both,Both,
Bounced,Bounced,
Brand,Brand,
Brand Name,Brand Name,
Brand Safety Score,Brand Safety Score,
Brand Voice Description,Brand Voice Description,
Breach Time,Breach Time,
BREACHED,BREACHED,
Brief,Brief,
Broadcast Name,Broadcast Name,
Broadcasts,Broadcasts,
Broker Detection Reason,Broker Detection Reason,
Bronze,Bronze,
Budget Adjustment History,Budget Adjustment History,
Budget History,Budget History,
Built-in Preset,Built-in Preset,
Bulk Auto-Classify,Bulk Auto-Classify,
Business,Business,
Busy,Busy,
Button Menu,Button Menu,
C-Level,C-Level,
Calendar Entry,Calendar Entry,
Calendarific API Key,Calendarific API Key,
Call,Call,
Call Context Rule,Call Context Rule,
Call Context Rules,Call Context Rules,
